SKU,Type,Name,Description,Categories,Images,Regular price,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
103025INDI,simple,Paquete de 1 Punta de Cruz PH2 de Impacto Largo 2,"<p>Optimiza tus proyectos con <strong>Paquete de 1 Punta de Cruz PH2 de Impacto Largo 2</strong>, diseñado específicamente para ofrecer la máxima durabilidad y eficiencia. Este producto es fundamental para trabajos de ferretería  y  accesorios, cumpliendo con los estándares de calidad más exigentes del mercado.</p>
<ul>
    <li><strong>Alto Rendimiento:</strong> Fabricado para resistir el uso continuo y condiciones de trabajo pesado.</li>
    <li><strong>Versatilidad:</strong> Ideal tanto para aplicaciones de nivel profesional como para proyectos de mejora del hogar.</li>
    <li><strong>Fácil Integración:</strong> Su diseño permite una instalación o uso rápido y seguro.</li>
</ul>
<p>Asegura un acabado impecable y resultados confiables en cada tarea.</p>",FERRETERÍA > Accesorios,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_103025INDI.jpg,9.12,,,,,,,,,,,,,
44349,simple,"Paquete de 100 Pijas 10 X 1-1/2"" Cabeza Plana Phillips Multiusos","<p>Optimiza tus proyectos con <strong>Paquete de 100 Pijas 10 X 1-1/2"" Cabeza Plana Phillips Multiusos</strong>, diseñado específicamente para ofrecer la máxima durabilidad y eficiencia. Este producto es fundamental para trabajos de ferretería  y  ferretería general, cumpliendo con los estándares de calidad más exigentes del mercado.</p>
<ul>
    <li><strong>Alto Rendimiento:</strong> Fabricado para resistir el uso continuo y condiciones de trabajo pesado.</li>
    <li><strong>Versatilidad:</strong> Ideal tanto para aplicaciones de nivel profesional como para proyectos de mejora del hogar.</li>
    <li><strong>Fácil Integración:</strong> Su diseño permite una instalación o uso rápido y seguro.</li>
</ul>
<p>Asegura un acabado impecable y resultados confiables en cada tarea.</p>",FERRETERÍA > Ferretería general,"https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_44349.png, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-1038_EI1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-1038_EIND1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-1038_EM1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-1038_E1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-1038_FC1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-1038_FC2.jpg",47.41,,,,,,,,,,,,,
44339,simple,"Paquete de 100 Pijas 6 X 1-1/2"" Cabeza Plana Phillips Multiusos","<p>Descubre la confiabilidad de <strong>Paquete de 100 Pijas 6 X 1-1/2"" Cabeza Plana Phillips Multiusos</strong>. Una solución indispensable dentro de la línea de ferretería  y  ferretería general, elaborada con materiales de primera calidad para garantizar una larga vida útil y un desempeño superior.</p>
<ul>
    <li><strong>Durabilidad Comprobada:</strong> Materiales seleccionados para evitar el desgaste prematuro.</li>
    <li><strong>Uso Profesional y Doméstico:</strong> Se adapta perfectamente a las exigencias de contratistas y entusiastas del bricolaje.</li>
    <li><strong>Garantía de Calidad:</strong> Supera las pruebas de resistencia para brindar seguridad en tu obra o reparación.</li>
</ul>
<p>Equípate con las mejores herramientas y accesorios para llevar tus proyectos al siguiente nivel.</p>",FERRETERÍA > Ferretería general,"https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_44339.png, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-638_EI1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-638_EIND1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-638_EM1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-638_E1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-638_FC1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-638_FC2.jpg",30.17,,,,,,,,,,,,,
40069,simple,"Paquete de 100 Pijas 8x1-1/2"" Cabeza Plana Phillips Multiusos Cuerda Fina","<p>Descubre la confiabilidad de <strong>Paquete de 100 Pijas 8x1-1/2"" Cabeza Plana Phillips Multiusos Cuerda Fina</strong>. Una solución indispensable dentro de la línea de ferretería  y  ferretería general, elaborada con materiales de primera calidad para garantizar una larga vida útil y un desempeño superior.</p>
<ul>
    <li><strong>Durabilidad Comprobada:</strong> Materiales seleccionados para evitar el desgaste prematuro.</li>
    <li><strong>Uso Profesional y Doméstico:</strong> Se adapta perfectamente a las exigencias de contratistas y entusiastas del bricolaje.</li>
    <li><strong>Garantía de Calidad:</strong> Supera las pruebas de resistencia para brindar seguridad en tu obra o reparación.</li>
</ul>
<p>Equípate con las mejores herramientas y accesorios para llevar tus proyectos al siguiente nivel.</p>",FERRETERÍA > Ferretería general,"https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_40069.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJC-838_EI1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJC-838_EIND1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJC-838_EM1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJC-838_E1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJC-838_FC1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJC-838_FC2.jpg",46.0,,,,,,,,,,,,,
UNNO0010,simple,Contacto Duplex 2p+t 3 Mod,"<p>El <strong>Contacto Duplex 2p+t 3 Mod</strong> es la elección perfecta para quienes buscan precisión y resistencia. Especialmente diseñado para el sector de material eléctrico  y  instalación, este artículo destaca por su excelente relación calidad-precio y su robustez.</p>
<ul>
    <li><strong>Construcción Sólida:</strong> Soporta las exigencias diarias del trabajo rudo.</li>
    <li><strong>Máxima Eficiencia:</strong> Diseñado ergonómicamente o estructurado para facilitar la tarea del usuario.</li>
    <li><strong>Estándar Industrial:</strong> Cumple con las normativas necesarias para un funcionamiento óptimo y seguro.</li>
</ul>
<p>No dejes la calidad de tus trabajos al azar; confía en componentes fabricados para durar.</p>",MATERIAL ELÉCTRICO > Instalación,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_UNNO0010.png,104.27,,,,,,,,,,,,,
UNO0011,simple,Placa de 3 Mod Chasis Blanca,"<p>El <strong>Placa de 3 Mod Chasis Blanca</strong> es la elección perfecta para quienes buscan precisión y resistencia. Especialmente diseñado para el sector de material eléctrico  y  instalación, este artículo destaca por su excelente relación calidad-precio y su robustez.</p>
<ul>
    <li><strong>Construcción Sólida:</strong> Soporta las exigencias diarias del trabajo rudo.</li>
    <li><strong>Máxima Eficiencia:</strong> Diseñado ergonómicamente o estructurado para facilitar la tarea del usuario.</li>
    <li><strong>Estándar Industrial:</strong> Cumple con las normativas necesarias para un funcionamiento óptimo y seguro.</li>
</ul>
<p>No dejes la calidad de tus trabajos al azar; confía en componentes fabricados para durar.</p>",MATERIAL ELÉCTRICO > Instalación,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_UNO0011.png,68.15,,,,,,,,,,,,,
A19LED030,simple,Paquete de 3 Foco Domestico A19 LED 8.5w Luz Cálida,"<p>Optimiza tus proyectos con <strong>Paquete de 3 Foco Domestico A19 LED 8.5w Luz Cálida</strong>, diseñado específicamente para ofrecer la máxima durabilidad y eficiencia. Este producto es fundamental para trabajos de iluminación  y  interior, cumpliendo con los estándares de calidad más exigentes del mercado.</p>
<ul>
    <li><strong>Alto Rendimiento:</strong> Fabricado para resistir el uso continuo y condiciones de trabajo pesado.</li>
    <li><strong>Versatilidad:</strong> Ideal tanto para aplicaciones de nivel profesional como para proyectos de mejora del hogar.</li>
    <li><strong>Fácil Integración:</strong> Su diseño permite una instalación o uso rápido y seguro.</li>
</ul>
<p>Asegura un acabado impecable y resultados confiables en cada tarea.</p>",ILUMINACIÓN > Interior,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_A19LED030.jpg,90.53,,,,,,,,,,,,,
A19LED010,simple,Paquete de 3 Foco Domestico A19 LED 8.5w Luz Fría,"<p>Descubre la confiabilidad de <strong>Paquete de 3 Foco Domestico A19 LED 8.5w Luz Fría</strong>. Una solución indispensable dentro de la línea de iluminación  y  interior, elaborada con materiales de primera calidad para garantizar una larga vida útil y un desempeño superior.</p>
<ul>
    <li><strong>Durabilidad Comprobada:</strong> Materiales seleccionados para evitar el desgaste prematuro.</li>
    <li><strong>Uso Profesional y Doméstico:</strong> Se adapta perfectamente a las exigencias de contratistas y entusiastas del bricolaje.</li>
    <li><strong>Garantía de Calidad:</strong> Supera las pruebas de resistencia para brindar seguridad en tu obra o reparación.</li>
</ul>
<p>Equípate con las mejores herramientas y accesorios para llevar tus proyectos al siguiente nivel.</p>",ILUMINACIÓN > Interior,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_A19LED010.jpg,90.53,,,,,,,,,,,,,
ABCL0002,simple,Abrazadera Clip - 3/4 Pulgadas,"<p>El <strong>Abrazadera Clip - 3/4 Pulgadas</strong> es la elección perfecta para quienes buscan precisión y resistencia. Especialmente diseñado para el sector de material eléctrico  y  canalización, este artículo destaca por su excelente relación calidad-precio y su robustez.</p>
<ul>
    <li><strong>Construcción Sólida:</strong> Soporta las exigencias diarias del trabajo rudo.</li>
    <li><strong>Máxima Eficiencia:</strong> Diseñado ergonómicamente o estructurado para facilitar la tarea del usuario.</li>
    <li><strong>Estándar Industrial:</strong> Cumple con las normativas necesarias para un funcionamiento óptimo y seguro.</li>
</ul>
<p>No dejes la calidad de tus trabajos al azar; confía en componentes fabricados para durar.</p>",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,7.03,,Medida,3/4 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABCL0004,simple,Abrazadera Clip - 1 1/4 Pulgadas,"<p>Optimiza tus proyectos con <strong>Abrazadera Clip - 1 1/4 Pulgadas</strong>, diseñado específicamente para ofrecer la máxima durabilidad y eficiencia. Este producto es fundamental para trabajos de material eléctrico  y  canalización, cumpliendo con los estándares de calidad más exigentes del mercado.</p>
<ul>
    <li><strong>Alto Rendimiento:</strong> Fabricado para resistir el uso continuo y condiciones de trabajo pesado.</li>
    <li><strong>Versatilidad:</strong> Ideal tanto para aplicaciones de nivel profesional como para proyectos de mejora del hogar.</li>
    <li><strong>Fácil Integración:</strong> Su diseño permite una instalación o uso rápido y seguro.</li>
</ul>
<p>Asegura un acabado impecable y resultados confiables en cada tarea.</p>",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,13.42,,Medida,1 1/4 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
