SKU,Type,Name,Description,Categories,Images,Regular price,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s)
103025INDI,simple,1 Pieza Punta de Cruz Ph2 de Impacto Largo 2,"1 de alta calidad para uso profesional y doméstico. Fabricado con materiales seleccionados que garantizan durabilidad y un rendimiento confiable en cada aplicación. Ideal para proyectos de construcción, instalaciones y mantenimiento general en el hogar, taller o empresa.",,"https://m.media-amazon.com/images/I/71Y+KZM5q3L._AC_UF894,1000_QL80_.jpg",9.12,,,,,,,
44349,simple,"100 Pijas 10 X 1-1/2""cabeza Plana Phillips Multiusos","Bolsa de alta calidad para uso profesional y doméstico. Fabricado con materiales seleccionados que garantizan durabilidad y un rendimiento confiable en cada aplicación. Ideal para proyectos de construcción, instalaciones y mantenimiento general en el hogar, taller o empresa.",,"https://www.truper.com/media/import/imagenes/PIJ-1038.jpg, https://www.truper.com/media/import/imagenes/PIJ-1038+EI1.jpg, https://www.truper.com/media/import/imagenes/PIJ-1038+EIND1.jpg, https://www.truper.com/media/import/imagenes/PIJ-1038+EM1.jpg, https://www.truper.com/media/import/imagenes/PIJ-1038+E1.jpg, https://www.truper.com/media/import/imagenes/PIJ-1038+FC1.jpg, https://www.truper.com/media/import/imagenes/PIJ-1038+FC2.jpg",47.41,,,,,,,
44339,simple,"100 Pijas 6 X 1-1/2""cabeza Plana Phillips Multiusos","Bolsa de alta calidad para uso profesional y doméstico. Fabricado con materiales seleccionados que garantizan durabilidad y un rendimiento confiable en cada aplicación. Ideal para proyectos de construcción, instalaciones y mantenimiento general en el hogar, taller o empresa.",,"https://www.truper.com/media/import/imagenes/PIJ-638.jpg, https://www.truper.com/media/import/imagenes/PIJ-638+EI1.jpg, https://www.truper.com/media/import/imagenes/PIJ-638+EIND1.jpg, https://www.truper.com/media/import/imagenes/PIJ-638+EM1.jpg, https://www.truper.com/media/import/imagenes/PIJ-638+E1.jpg, https://www.truper.com/media/import/imagenes/PIJ-638+FC1.jpg, https://www.truper.com/media/import/imagenes/PIJ-638+FC2.jpg",30.17,,,,,,,
40069,simple,"100pijas 8x1-1/2""cabeza Plana Phillips Multiusos Cuerda Fina","100p de alta calidad para uso profesional y doméstico. Fabricado con materiales seleccionados que garantizan durabilidad y un rendimiento confiable en cada aplicación. Ideal para proyectos de construcción, instalaciones y mantenimiento general en el hogar, taller o empresa.",,"https://www.truper.com/media/import/imagenes/PIJC-838.jpg, https://www.truper.com/media/import/imagenes/PIJC-838+EI1.jpg, https://www.truper.com/media/import/imagenes/PIJC-838+EIND1.jpg, https://www.truper.com/media/import/imagenes/PIJC-838+EM1.jpg, https://www.truper.com/media/import/imagenes/PIJC-838+E1.jpg, https://www.truper.com/media/import/imagenes/PIJC-838+FC1.jpg, https://www.truper.com/media/import/imagenes/PIJC-838+FC2.jpg",46.0,,,,,,,
P61600,simple,11w Par30 Dim Fl 2700k Greenlite,"11w de alta calidad para uso profesional y doméstico. Fabricado con materiales seleccionados que garantizan durabilidad y un rendimiento confiable en cada aplicación. Ideal para proyectos de construcción, instalaciones y mantenimiento general en el hogar, taller o empresa.",,https://ferreabasto.com/cdn/shop/products/lampara-de-led-circular-empotrable-para-techo-blanca-12w-840lm-luz-fria-6500k-con-nom-1255-sanelec.jpg,240.0,,,,,,,
UNNO0010,simple,2328-ba Contacto Duplex 2p+t 3 Mod,Contacto eléctrico duplex de 15A para instalación en cajas estándar. Ofrece dos tomas de corriente con polo a tierra para conexión segura de electrodomésticos y equipos electrónicos. Su construcción robusta garantiza durabilidad y seguridad en el uso cotidiano.,,"https://m.media-amazon.com/images/I/61W8GZ+VxCL._AC_UF894,1000_QL80_.jpg",104.27,,,,,,,
UNO0011,simple,2573-ba Placa de 3 Mod Chasis Blanca,Placa decorativa para cubrir cajas eléctricas en acabado profesional. Compatibe con interruptores y contactos estándar para una instalación ordenada y estética. Disponible en diferentes acabados y configuraciones para adaptarse a cualquier estilo de decoración.,,"https://m.media-amazon.com/images/I/61W8GZ+VxCL._AC_UF894,1000_QL80_.jpg",68.15,,,,,,,
A19LED030,simple,3pack Foco Domestico A19 Led 8.5w 100-240v 3000k,"3pack de alta calidad para uso profesional y doméstico. Fabricado con materiales seleccionados que garantizan durabilidad y un rendimiento confiable en cada aplicación. Ideal para proyectos de construcción, instalaciones y mantenimiento general en el hogar, taller o empresa.",,https://ferreabasto.com/cdn/shop/products/lampara-de-led-circular-empotrable-para-techo-blanca-12w-840lm-luz-fria-6500k-con-nom-1255-sanelec.jpg,90.53,,,,,,,
A19LED010,simple,3pack Foco Domestico A19 Led 8.5w 100-240v 6500k,"3pack de alta calidad para uso profesional y doméstico. Fabricado con materiales seleccionados que garantizan durabilidad y un rendimiento confiable en cada aplicación. Ideal para proyectos de construcción, instalaciones y mantenimiento general en el hogar, taller o empresa.",,https://ferreabasto.com/cdn/shop/products/lampara-de-led-circular-empotrable-para-techo-blanca-12w-840lm-luz-fria-6500k-con-nom-1255-sanelec.jpg,90.53,,,,,,,
ABOM0001-BASE,variable,Ab Omega,"Abrazadera tipo omega de 1/2"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,,,Medida,"1/2 pulg, 1 1/4 pulg, 1 1/2 pulg",1,1,,
