SKU,Name,Description,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s)
100079,"Dispensador con 10 cuchillas para NV-7X y NM-6, EXPERT","Dispensador de alta calidad para uso profesional y doméstico. Fabricado con materiales seleccionados que garantizan durabilidad y un rendimiento confiable en cada aplicación. Ideal para proyectos de construcción, instalaciones y mantenimiento general en el hogar, taller o empresa.",82.8,,"https://www.truper.com/media/import/imagenes/REP-NM-10X.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+D1.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+D2.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+D3.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+D4.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+D5.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+D6.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+EI1.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+EIND1.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+EM1.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+E1.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+FC1.jpg",Marca,,Medida,
100080,Bolsa con 1 kg de barras de silicÃ³n de repuesto p/PIPE-1/2,"Sellador de silicón  para sellado de juntas, grietas y uniones en superficies interiores y exteriores. Excelente adherencia en vidrio, metal, cerámica, madera y plástico con gran resistencia a la humedad y temperatura. Una vez curado, forma una barrera flexible, impermeable y duradera.",,,https://www.truper.com/media/import/imagenes/REP-PIPE-1-2G.jpg,Marca,,Medida,
100126,"Disco de lija 4-1/2"" con respaldo de fibra, grano 50, TRUPER","Disco abrasivo 4 1/2"" para corte y desbaste de metales en esmeriladora angular. Fabricado con abrasivos de alta calidad que mantienen el filo por más tiempo para mayor rendimiento. Compatible con esmeriladoras angulares estándar del mercado.",14.66,,"https://www.truper.com/media/import/imagenes/DILF-450.jpg, https://www.truper.com/media/import/imagenes/DILF-450+EI1.jpg, https://www.truper.com/media/import/imagenes/DILF-450+EM1.jpg, https://www.truper.com/media/import/imagenes/DILF-450+E1.jpg, https://www.truper.com/media/import/imagenes/DILF-450+FC1.jpg",Marca,,Medida,
100148,"Manguera 3/4"" anti-torceduras 6 capas 30m conexiones d/metal","Mang de alta calidad para uso profesional y doméstico. Fabricado con materiales seleccionados que garantizan durabilidad y un rendimiento confiable en cada aplicación. Ideal para proyectos de construcción, instalaciones y mantenimiento general en el hogar, taller o empresa.",806.03,,https://www.truper.com/media/import/imagenes/MAN-30X3-4XX.jpg,Marca,,Medida,
100172,"Disco sierra 4-1/2"" para madera, 24 dientes centro 3/8""","Disco de sierra 4 1/2"" para corte preciso de madera, MDF y materiales derivados. Sus dientes de carburo de tungsteno garantizan cortes limpios y una larga vida útil incluso en trabajo continuo. Compatible con sierras circulares y esmeriladora angular del diámetro correspondiente.",155.17,,"https://www.truper.com/media/import/imagenes/ST-424.jpg, https://www.truper.com/media/import/imagenes/ST-424+EI1.jpg, https://www.truper.com/media/import/imagenes/ST-424+EIND1.jpg, https://www.truper.com/media/import/imagenes/ST-424+EM1.jpg, https://www.truper.com/media/import/imagenes/ST-424+E1.jpg",Marca,,Medida,
100173,"Gancho plÃ¡stico naranja para manguera de jardÃ­n, TRUPER","Manguera de jardín   para riego y lavado de superficies. Su construcción reforzada resiste la presión del agua, los dobleces y el desgaste por uso prolongado a la intemperie. Compatible con conexiones de llave y pistolas de riego estándar.",66.38,,"https://www.truper.com/media/import/imagenes/GA-MA-N.jpg, https://www.truper.com/media/import/imagenes/GA-MA-N+E1.jpg, https://www.truper.com/media/import/imagenes/GA-MA-N+FC1.jpg, https://www.truper.com/media/import/imagenes/GA-MA-N+FC2.jpg",Marca,,Medida,
100224,"Escalera de tijera, tipo ll, 4 peldaÃ±os, fibra de vidrio",Escalera  de 4 peldaños de fibra de vidrio para trabajos en altura de forma segura y estable. La fibra de vidrio la hace ideal para trabajos eléctricos al ser dieléctrica. Cuenta con peldaños antiderrapantes para mayor seguridad en superficies húmedas o resbaladizas.,2314.66,,"https://www.truper.com/media/import/imagenes/EST-24FV.jpg, https://www.truper.com/media/import/imagenes/EST-24FV+FC1.jpg, https://www.truper.com/media/import/imagenes/EST-24FV+FC2.jpg",Marca,,Medida,
100225,"Escalera de tijera, tipo ll, 5 peldaÃ±os, fibra de vidrio",Escalera tipo tijera de 5 peldaños de fibra de vidrio para trabajos en altura de forma segura y estable. La fibra de vidrio la hace ideal para trabajos eléctricos al ser dieléctrica. Cuenta con peldaños antiderrapantes para mayor seguridad en superficies húmedas o resbaladizas.,3050,,"https://www.truper.com/media/import/imagenes/EST-25FV.jpg, https://www.truper.com/media/import/imagenes/EST-25FV+FC1.jpg, https://www.truper.com/media/import/imagenes/EST-25FV+FC2.jpg",Marca,,Medida,
100250,"Combo esmeriladora 4-1/2"", 850W,lentes y flexÃ³metro,ERGO-PRO","Esmeriladora angular  para corte, desbaste y pulido de metales, concreto y otros materiales. Motor de alto rendimiento que mantiene velocidad constante bajo carga para trabajos continuos. Incluye protector de disco y empuñadura lateral para mayor control y seguridad durante su uso.",831.9,,"https://www.truper.com/media/import/imagenes/COMBOE-4580ALF.jpg, https://www.truper.com/media/import/imagenes/COMBOE-4580ALF+EIND1.jpg, https://www.truper.com/media/import/imagenes/COMBOE-4580ALF+EIND2.jpg, https://www.truper.com/media/import/imagenes/COMBOE-4580ALF+EM1.jpg, https://www.truper.com/media/import/imagenes/COMBOE-4580ALF+E1.jpg",Marca,,Medida,
100374,"Medidor lÃ¡ser de distancia de 0.05 m a 100 m, TRUPER","Medidor de alta calidad para uso profesional y doméstico. Fabricado con materiales seleccionados que garantizan durabilidad y un rendimiento confiable en cada aplicación. Ideal para proyectos de construcción, instalaciones y mantenimiento general en el hogar, taller o empresa.",1314.66,,"https://www.truper.com/media/import/imagenes/MELA-100.jpg, https://www.truper.com/media/import/imagenes/MELA-100+D4.jpg, https://www.truper.com/media/import/imagenes/MELA-100+EIND1.jpg, https://www.truper.com/media/import/imagenes/MELA-100+EM1.jpg, https://www.truper.com/media/import/imagenes/MELA-100+E1.jpg, https://www.truper.com/media/import/imagenes/MELA-100+FC1.jpg, https://www.truper.com/media/import/imagenes/MELA-100+FC2.jpg, https://www.truper.com/media/import/imagenes/MELA-100+FC3.jpg",Marca,,Medida,
100376,"Maleta portaherramientas de 14"", TRUPER","Maleta de alta calidad para uso profesional y doméstico. Fabricado con materiales seleccionados que garantizan durabilidad y un rendimiento confiable en cada aplicación. Ideal para proyectos de construcción, instalaciones y mantenimiento general en el hogar, taller o empresa.",245.69,,"https://www.truper.com/media/import/imagenes/MALE-14.jpg, https://www.truper.com/media/import/imagenes/MALE-14+EI1.jpg, https://www.truper.com/media/import/imagenes/MALE-14+EIND1.jpg, https://www.truper.com/media/import/imagenes/MALE-14+EM1.jpg, https://www.truper.com/media/import/imagenes/MALE-14+E1.jpg, https://www.truper.com/media/import/imagenes/MALE-14+FC1.jpg, https://www.truper.com/media/import/imagenes/MALE-14+FC2.jpg, https://www.truper.com/media/import/imagenes/MALE-14+FC3.jpg",Marca,,Medida,
