SKU,Type,Name,Description,Categories,Images,Regular price,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
ABCL0002-BASE,simple,Abrazadera Clip,"Abrazadera Clip 3/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABCL0002-BASE.jpg,,,Medida,"3/4 pulg, 1 1/4 pulg",1,1,Marca,,1,1,,,,
ABOM0001-BASE,simple,Abrazadera Omega,"Abrazadera Omega 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABOM0001-BASE.jpg,,,Medida,"1/2 pulg, 1 1/4 pulg, 1 1/2 pulg",1,1,Marca,,1,1,,,,
46795-BASE,simple,"Abrazadera Ppr,â , Tipo U, Foset","Abrazadera Ppr,â 1/2"", Tipo U, Foset. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,"https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/2026/05/CV-101.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/2026/05/CV-101_E1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/2026/05/CV-101_FC1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/2026/05/CV-101_FC2.jpg",,,Medida,"1/2 pulg, 3/4 pulg",1,1,Marca,,1,1,,,,
ABPE0001-BASE,simple,Abrazadera Tipo Pera,"Abrazadera Tipo Pera 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABPE0001-BASE.jpg,,,Medida,"1/2 pulg, 3/4 pulg, 1 1/2 pulg",1,1,Marca,,1,1,,,,
ABUN0001-BASE,simple,Abrazadera Unicanal,"Abrazadera Unicanal 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABUN0001-BASE.jpg,,,Medida,"1/2 pulg, 3/4 pulg, 1 1/4 pulg, 1 1/2 pulg, 2 1/2 pulg",1,1,Marca,,1,1,,,,
ABUÃ0001-BASE,simple,Abrazadera Uña,"Abrazadera Uãa 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/2026/04/000000.png,,,Medida,"1/2 pulg, 3/4 pulg, 1 1/4 pulg, 1 1/2 pulg",1,1,Marca,,1,1,,,,
ABUÃ0001,simple,Abrazadera Uña - 1/2 pulg,"Abrazadera Uãa 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,https://dummyimage.com/600x600/cccccc/000000.png,1.87,,Medida,1/2 pulg,1,1,Marca,,1,1,,,,
ABUÃ0002,simple,Abrazadera Uña - 3/4 pulg,"Abrazadera Uãa 3/4. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,https://dummyimage.com/600x600/cccccc/000000.png,4.14,,Medida,3/4 pulg,1,1,Marca,,1,1,,,,
ABUÃ0004,simple,Abrazadera Uña - 1 1/4 pulg,"Abrazadera Uãa 1 1/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,https://dummyimage.com/600x600/cccccc/000000.png,7.74,,Medida,1 1/4 pulg,1,1,Marca,,1,1,,,,
ABUÃ0005,simple,Abrazadera Uña - 1 1/2 pulg,"Abrazadera Uãa 1 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,https://dummyimage.com/600x600/cccccc/000000.png,9.03,,Medida,1 1/2 pulg,1,1,Marca,,1,1,,,,
